"Source","Destination","Alt Text"
"https://ditex.com.pl/moje-konto/","https://ditex.com.pl/wp-content/uploads/2024/01/logo-white.svg",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2024/01/logo-white.svg",""
"https://ditex.com.pl/moje-konto/lost-password/","https://ditex.com.pl/wp-content/uploads/2024/01/logo-white.svg",""
"https://ditex.com.pl/moje-konto/","https://ditex.com.pl/wp-content/uploads/2023/09/xlogoBMP.png.pagespeed.ic.aXNbihu5y3.png",""
"https://ditex.com.pl/moje-konto/","https://ditex.com.pl/wp-content/uploads/2023/09/xlogoBMP.png.pagespeed.ic.aXNbihu5y3.png",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2023/09/xlogoBMP.png.pagespeed.ic.aXNbihu5y3.png",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2023/09/xlogoBMP.png.pagespeed.ic.aXNbihu5y3.png",""
"https://ditex.com.pl/moje-konto/lost-password/","https://ditex.com.pl/wp-content/uploads/2023/09/xlogoBMP.png.pagespeed.ic.aXNbihu5y3.png",""
"https://ditex.com.pl/moje-konto/lost-password/","https://ditex.com.pl/wp-content/uploads/2023/09/xlogoBMP.png.pagespeed.ic.aXNbihu5y3.png",""
"https://ditex.com.pl/moje-konto/","https://ditex.com.pl/wp-content/uploads/2024/06/xlogo-ngr.png.pagespeed.ic.tRLH-ODvak.png",""
"https://ditex.com.pl/moje-konto/","https://ditex.com.pl/wp-content/uploads/2024/06/xlogo-ngr.png.pagespeed.ic.tRLH-ODvak.png",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2024/06/xlogo-ngr.png.pagespeed.ic.tRLH-ODvak.png",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2024/06/xlogo-ngr.png.pagespeed.ic.tRLH-ODvak.png",""
"https://ditex.com.pl/moje-konto/lost-password/","https://ditex.com.pl/wp-content/uploads/2024/06/xlogo-ngr.png.pagespeed.ic.tRLH-ODvak.png",""
"https://ditex.com.pl/moje-konto/lost-password/","https://ditex.com.pl/wp-content/uploads/2024/06/xlogo-ngr.png.pagespeed.ic.tRLH-ODvak.png",""
"https://ditex.com.pl/moje-konto/","https://ditex.com.pl/wp-content/uploads/2024/08/xoferta-specjalna.png.pagespeed.ic.n7Gwnoguq_.png",""
"https://ditex.com.pl/moje-konto/","https://ditex.com.pl/wp-content/uploads/2024/08/xoferta-specjalna.png.pagespeed.ic.n7Gwnoguq_.png",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2024/08/xoferta-specjalna.png.pagespeed.ic.n7Gwnoguq_.png",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2024/08/xoferta-specjalna.png.pagespeed.ic.n7Gwnoguq_.png",""
"https://ditex.com.pl/moje-konto/lost-password/","https://ditex.com.pl/wp-content/uploads/2024/08/xoferta-specjalna.png.pagespeed.ic.n7Gwnoguq_.png",""
"https://ditex.com.pl/moje-konto/lost-password/","https://ditex.com.pl/wp-content/uploads/2024/08/xoferta-specjalna.png.pagespeed.ic.n7Gwnoguq_.png",""
"https://ditex.com.pl/moje-konto/","https://ditex.com.pl/wp-content/uploads/2023/09/xlogo-roger-brushless.png.pagespeed.ic.6gTnUdDOWx.png",""
"https://ditex.com.pl/moje-konto/","https://ditex.com.pl/wp-content/uploads/2023/09/xlogo-roger-brushless.png.pagespeed.ic.6gTnUdDOWx.png",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2023/09/xlogo-roger-brushless.png.pagespeed.ic.6gTnUdDOWx.png",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2023/09/xlogo-roger-brushless.png.pagespeed.ic.6gTnUdDOWx.png",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2023/09/xlogo-roger-brushless.png.pagespeed.ic.6gTnUdDOWx.png",""
"https://ditex.com.pl/moje-konto/lost-password/","https://ditex.com.pl/wp-content/uploads/2023/09/xlogo-roger-brushless.png.pagespeed.ic.6gTnUdDOWx.png",""
"https://ditex.com.pl/moje-konto/lost-password/","https://ditex.com.pl/wp-content/uploads/2023/09/xlogo-roger-brushless.png.pagespeed.ic.6gTnUdDOWx.png",""
"https://ditex.com.pl/moje-konto/","https://ditex.com.pl/wp-content/uploads/2023/09/xamtr.png.pagespeed.ic.k0eeg_OHpX.png",""
"https://ditex.com.pl/moje-konto/","https://ditex.com.pl/wp-content/uploads/2023/09/xamtr.png.pagespeed.ic.k0eeg_OHpX.png",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2023/09/xamtr.png.pagespeed.ic.k0eeg_OHpX.png",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2023/09/xamtr.png.pagespeed.ic.k0eeg_OHpX.png",""
"https://ditex.com.pl/moje-konto/lost-password/","https://ditex.com.pl/wp-content/uploads/2023/09/xamtr.png.pagespeed.ic.k0eeg_OHpX.png",""
"https://ditex.com.pl/moje-konto/lost-password/","https://ditex.com.pl/wp-content/uploads/2023/09/xamtr.png.pagespeed.ic.k0eeg_OHpX.png",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2015/08/BM30-304-HS_wymiary.png",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2015/08/xMax-ciezar-bramy-2.png.pagespeed.ic.GWu7W6xLWG.png",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2023/09/xCzestotliwosc-uzytkowania_OK.png.pagespeed.ic.YNGNyMuwZ5.png",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2023/09/xR90_F2ES-350x263.jpg.pagespeed.ic.EWmXGWyTus.jpg",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2023/09/xR90_F2ES-350x263.jpg.pagespeed.ic.EWmXGWyTus.jpg",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2023/09/xPredkosc_OK.png.pagespeed.ic.VyMcpFXDJZ.png",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2023/09/xIkonka-niskie-napiecie.png.pagespeed.ic.C-3mXm39RF.png",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2023/09/xH93_RX20-350x233.jpg.pagespeed.ic.ib1i4ocMuh.jpg",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2023/09/xH93_RX20-350x233.jpg.pagespeed.ic.ib1i4ocMuh.jpg",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2023/09/xmagnetic_ls.png.pagespeed.ic.hrL7bobHXV.png",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2023/09/xIkonka-pelna-kontrola.png.pagespeed.ic.9qDNNNt4cs.png",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2023/10/xE80_TX52R_2-350x263.jpg.pagespeed.ic.dYsra3AB7z.jpg",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2023/10/xE80_TX52R_2-350x263.jpg.pagespeed.ic.dYsra3AB7z.jpg",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2015/08/xRESIDENZIALE_SIMBOLO-USO.png.pagespeed.ic.qu9ZUBLnaZ.png",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2015/08/xBM30_303_HS_NA-STRONE-350x413.png.pagespeed.ic.Lssoa-OzYa.png",""
"https://ditex.com.pl/bm30-304-hs/","https://ditex.com.pl/wp-content/uploads/2015/08/xBM30_303_HS_NA-STRONE-350x413.png.pagespeed.ic.Lssoa-OzYa.png",""
